company_name,category,description,overall_rating,review_count,clients,notable_project,industries,location,company_size,min_project_size
Waverley Software,internet-of-things,"Waverley Software is a software engineering company headquartered in Palo Alto, Calif. It also has offices in Boston, Kharkiv, Ukraine, Lviv, Ukraine, and Ho Chi Minh, Vietnam. Founded in 1992, Waverley's team of over 80 employees mainly provides midmarket brands around the world with custom software development, mobile app development, and IoT development services.",4.9,(36 Reviews),Mozilla; Qualcomm; Swisscom; GroupOn,A personal journaling app engaged with Waverley Software for their iOS-based mobile app development services. The team manages the entire project and utilizes Swift UI as their primary development tool.,"['Education', 'Financial services', 'Medical']","Palo Alto, CA",250 - 999 employees,"$50,000+"
Innowise Group,internet-of-things,"Innowise Group is a custom software development company based in Warsaw, Poland. With more than 1000 specialists on board and 600 projects completed, they use cutting-edge technologies to transform their client's businesses. They are experts in designing and developing tech solutions that will help your company enhance its processes and increase customer satisfaction, thanks to their 15+ years of experience and extensive expertise. They create custom software to fit your unique requirements in terms of timeline, budget, and use case. They handle every step of the development process, from product concept and development to testing, deployment, and support. In addition to building custom software, we also excel in UX/UI design, IT strategy consulting, and staff augmentation.",4.8,(40 Reviews),Terraces.io; Voka; Belyagdar; Instatsport,A digital healthcare company hired Innowise Group to provide mobile app development. They created a platform for respiratory conditions that analyzes inhalation flow and allows users to record symptom data.,"['Education', 'Financial services', 'Medical']","St. Petersburg, FL","1,000 - 9,999 employees","$5,000+"
N-iX,internet-of-things,"N-iX is an Eastern European software development service company with headquarter in Lviv, Ukraine. Founded in 2002, N-iX has increased its presence in six countries spanning Europe and the US.",4.8,(29 Reviews),Fortune 500 companies; AVL; Saks Fifth Avenue; TuneIn,"N-iX provided primarily Java-based functional development, building applications on top of existing framework. The team managed large amounts of complicated, aggregated data and used specific language skills.","['Business services', 'Education', 'Financial services', 'Medical', 'Hospitality & leisure', 'Manufacturing', 'Media', 'Energy & natural resources', 'Telecommunications']","Valletta, Malta","1,000 - 9,999 employees","$100,000+"
EffectiveSoft,internet-of-things,"EffectiveSoft is a software development company with more than 20 years of professional experience and 300+ employees. Their key competence in recent years has been dedicated to fintech and healthcare. They are headquartered in San Diego and have offices in London, West Burlington, Mass., and Minsk, from which they offer both a local and offshore presence. ",4.9,(14 Reviews),,EffectiveSoft provides staff augmentation services to a software development company. They help the client extend their web app with mobile capabilities and other significant features.,"['Financial services', 'Medical', 'Information technology']","San Diego, CA",250 - 999 employees,"$25,000+"
Grinn,internet-of-things,"Located in Wrocław, Poland, Grinn is a midsize custom software development company. Established in 2008, the team specializes in custom software development, IoT development, IT managed services, product design, and more.",4.8,(7 Reviews),,An industrial appliance maintenance company has engaged with Grinn for IoT development. The team has implemented a new design and created new features relevant to network technology and battery.,"['Automotive', 'Consumer products & services', 'GPS, Navigation & GIS', 'Medical', 'Hospitality & leisure', 'Information technology', 'Manufacturing', 'Telecommunications', 'Supply Chain, Logistics, and Transport']","Wrocław, Poland",50 - 249 employees,"$10,000+"
DataArt,internet-of-things,"DataArt is a software engineering firm in München, Germany; Zug, Switzerland; London, England; and New York. Founded in 1997, they have about 3,000 employees that serve mainly midmarket and small-business clients in the financial, healthcare, and IT sectors. Services include custom software development, enterprise app modernization, and UI/UX design.",5.0,(14 Reviews),The Carlyle Group; Nasdaq; Apax Partners; Monex,DataArt provides e-commerce solutions for a B2B marketplace. The team is responsible for creating an automated and scalable solution that can be operated in multiple countries.,"['eCommerce', 'Financial services', 'Medical', 'Hospitality & leisure', 'Media', 'Retail']","New York, NY","1,000 - 9,999 employees","$100,000+"
You are launched,internet-of-things,"molfar.io is a software development company based in Dnipro, Ukraine. Founded in 2016, molfar.io and its team of around 10 employees provides mobile app and web development, and UX/UI design services to small and mid-market businesses. They primarily work with those in the healthcare & medical, hospitality, and IT industries.",5.0,(38 Reviews),"""I decided to work with a Ukrainian company, I finalized a list of three companies. You are launched felt like more of a business partner, and they helped us come up with ways to grow the business."" - Sean Cornelius; ""They began by evaluating the demo video we had composed, and reverse engineering what will be necessary from a resource perspective to deliver."" Manuel Porter; ""They have excellent communication and are even better at determining what we’re trying to accomplish and figuring out how to get it done."" - Brent Kruel; ""You are launched takes care of everything. They really guide us by asking us what we want and then letting us know what we need. They help us test and release the app as quickly as possible."" - David Whalen","You are launched is developing a branding app for an educational project. The team's responsibilities include conceptualization, UI/UX design, and app development.","['eCommerce', 'GPS, Navigation & GIS', 'Medical']","Dnipro, Ukraine",10 - 49 employees,"$25,000+"
SAPHI,internet-of-things,"SAPHI is an IoT development company. They are in Lambton, Australia and have a small team. Their services include IoT development, custom software development, mobile app development, and web development. The firm was established in 2017.",5.0,(6 Reviews),NSW Department of Primary Industries; BHP; Orica; Sydney School of Entrepreneurship,SAPHI conducted managed IT services for a local government organization. They evaluated the client's new tech stack using data integration and visualization.,"['Government', 'Energy & natural resources']","Warners Bay, Australia",10 - 49 employees,"$25,000+"
Accelerance,internet-of-things,"Accelerance is a small IT strategy consulting company. The Redwood City, California-based firm was established in 2001. Their services include IT strategy consulting, custom software development, IT staff augmentation, enterprise app modernization, and more.",5.0,(27 Reviews),Acrowire; Find.com; MediaPro; AdRoll,"Accelerance has provided recruitment support to a cloud services company. They have been responsible for sourcing developers, QA, and scrum leaders to assist with a variety of development projects. ","['eCommerce', 'Education', 'Financial services', 'Medical', 'Information technology', 'Supply Chain, Logistics, and Transport']","Redwood City, CA",10 - 49 employees,"$100,000+"
SoftwareHut,internet-of-things,"SoftwareHut is a software development house with offices around the world, including London, New York, Paris, Munich, Dublin, Stockholm, Copenhagen and Zurich. Founded in 2015, they also have seven offices in Poland, including Bialystock, Olsztyn, Przemysl, Szczecin, Warsaw, Wroclaw, and Poznan. They employ 173 staff specializing in designing, customizing and developing professional IT systems, LIMS, SCM, and mobile apps.",4.8,(27 Reviews),Microsoft; Sonetel; QBank; Skyscanner,"SoftwareHut provides development resources for a SaaS company. The developers handle the firm's data analysis, web development, and business analysis needs. Around four teammates are assigned to the client.","['Business services', 'Consumer products & services', 'eCommerce', 'Education', 'Financial services', 'Government', 'Medical', 'Hospitality & leisure', 'Information technology', 'Legal']","Białystok, Poland",250 - 999 employees,"$5,000+"
ArcTouch,internet-of-things,"ArcTouch was founded in 2008 and has offices in San Francisco, Calif., New York, and Florianópolis, Brazil. They excel at app development, blockchain, and UX/UI design. They guide their enterprise clients through the app building process by defining a strategy for the best user experience, planning the visual design, developing and testing the prototype, and ensuring optimization and growth.",4.9,(28 Reviews),,"ArcTouch was directly involved in creating a mobile app for a luxury electric vehicle automaker. They aimed to integrate their products with IoT assistants such as Apple Watch, Siri, and Google assistant. ","['Consumer products & services', 'eCommerce', 'Financial services', 'Medical', 'Hospitality & leisure', 'Media', 'Retail']","San Francisco, CA",50 - 249 employees,"$100,000+"
Solwit SA,internet-of-things,"Solwit SA is a custom software development firm based in Gdańsk, Poland. Founded in 201, their team of 500 serves clients in the IT, Financial services and utilities sectors. Services include NodeJS, AngularJS, and .NET development.",5.0,(8 Reviews),,"Solwit SA developed a web app for a car rental company. They designed the solution, hosted the backend in AWS, and built the frontend using Angular, Amazon DynamoDB, AWS Amplify, AppSync, Lambda, and .NET Core.","['Automotive', 'Financial services', 'Medical', 'Information technology', 'Manufacturing', 'Retail', 'Utilities']","Gdańsk, Poland",250 - 999 employees,"$5,000+"
Softeq,internet-of-things,"Softeq is a full-stack development company for web and mobile that’s headquartered in Houston, TX. Founded in 1997, the team of 200+ offers the rare combination of app software and hardware-level expertise – from backends to business intelligence, firmware to IoT (internet of things).",4.9,(26 Reviews),Microsoft; Intel; Nike; Epson,"Softeq provides contract software development services for special projects, game development, and game ports. They recently completed an adaptation for specific hardware and developed screen savers and utilities.","['Automotive', 'Business services', 'Education', 'Gaming', 'Medical', 'Information technology', 'Media', 'Energy & natural resources', 'Real estate']","Houston, TX",250 - 999 employees,"$50,000+"
FiveDotTwelve,internet-of-things,"Based in Łódź, Poland, FiveDotTwelve is a software development company that was founded in 2015. Their team of 14 are experts in mobile app, internet of things, and web development. ",4.9,(28 Reviews),Onoco; Squaddy; Autenti; Knauf,FiveDotTwelve designed and developed a club promotion company's web app and mobile app for iOS and Android. They based the design on the client's previously prepared concept for the project.,"['Advertising & marketing', 'Arts, entertainment & music', 'Financial services', 'Telecommunications']","Łódź, Poland",10 - 49 employees,"$25,000+"
xBerry,internet-of-things,"xBerry R&D House is an IT company in Wrocław, Poland. Founded in 2014, they have about 16 employees that service small-business and midmarket clients in the manufacturing, business, and consumer products sectors. Services include custom software development, IT staff augmentation, and AR/VR development.",5.0,(10 Reviews),Szajna; UltraSpotter; Müller Apparatebau; Cesar,"A parking system services provider hired xBerry R&D House for IoT development. They created and integrated new functionalities like online reservation, license plate recognition, and elastic container registry.","['Medical', 'Legal', 'Manufacturing', 'Real estate', 'Supply Chain, Logistics, and Transport']","Wrocław, Poland",50 - 249 employees,"$5,000+"
VOLO,internet-of-things,"Volo is a software development company, established in 2006. They are headquartered in Yerevan, Armenia and have a second location in Zaporizhia, Ukraine. Volo has a large team of 130 employees; they specialize in mobile app development, custom software development, and cybersecurity. They mostly work with enterprise level clients in the financial services, telecommunications, and health care sectors.",5.0,(8 Reviews),SharkNinja; Jabil; FLYR; MTS,An insurance consulting firm hired Volo to develop a compliance application using ASP.NET MVC. The app serves as a niche project management tool for insurance companies.,"['Business services', 'Consumer products & services', 'Education', 'Financial services', 'Government', 'Medical']","Yerevan, Armenia",250 - 999 employees,"$25,000+"
HQSoftware,internet-of-things,"HQSoftware is a software development company with offices in Estonia, the United States, and Belarus. The team of under 250 specializes in IoT development, AR/VR development, web development, and mobile app development. Founded in 2001, the firm solves problems like limited budgets and inadequate offshoring options by designing apps that align with business needs and ideas. By focusing on every aspect of IoT ecosystems above low-level programming for hardware, HQSoftware offers clients new product and service opportunities. HQSoftware develops technical solutions to improve clients' customer experience, create new revenue streams, and drive traffic. ",4.9,(18 Reviews),Skoda; Bell; Sega; HTC,A fintech company contracted HQSoftware for staff augmentation services. The team is responsible for scaling the client's development team to achieve their milestones in a timely manner.,"['Automotive', 'eCommerce', 'Education', 'Financial services', 'Medical', 'Information technology', 'Manufacturing', 'Telecommunications']","Tallinn, Estonia",50 - 249 employees,"$10,000+"
Order Group,internet-of-things,"Order Group is a custom software company, founded in 2014 and located in Warsaw, Poland. They comprise 28 employees specializing in delivering advanced IT systems, web and mobile apps, product design and tech consulting workshops. They work with startups and global corporations.",5.0,(18 Reviews),,"Order Group designed the UI and UX for a web-hosted business administration app. Based on computer sketches and written descriptions, they created a demo using InVision. They now help plan new features.","['Consumer products & services', 'Financial services', 'Medical', 'Energy & natural resources']","Warszawa, Poland",10 - 49 employees,"$25,000+"
Apriorit,internet-of-things,"Apriorit is a software product engineering company founded in 2002 with offices in Dover, Del., and Budapest, Hungary. Apriorit boasts a team of more than 200 employees who are well-versed in custom software development, web development, and mobile app development. ",4.9,(28 Reviews),Fortune 500 security solution vendors; Fortune 500 virtualization technology vendors; SaaS solution providers (CRM; HR,"A customer identity and access management company was looking to present the benefits of their software seamlessly, so they hired Apriorit for web development. The team utilized React and OpenID in the build.","['Automotive', 'Business services', 'Financial services', 'Medical', 'Information technology']","Wilmington, DE",250 - 999 employees,Undisclosed
DAC.digital,internet-of-things,"DAC.digital is an IT service provider in Gdańsk, Poland. Their team of fewer than 50 employees offers services in IoT development, blockchain, big data consulting, and custom software development. They services midmarket and enterprise companies in industries such as transportation, IT, and energy and natural resources. They were founded in 2009.",4.9,(8 Reviews),eye square GmbH; Sports Computing AS; Snowfall Travel (Junction Pay Limited); ABAX AS,"DAC.digital provides custom software development and consulting services for an IT firm. They work together with the client on multiple projects that involve various key technologies, such as Kotlin and React.","['Advertising & marketing', 'Arts, entertainment & music', 'Automotive', 'Business services', 'Consumer products & services', 'eCommerce', 'Financial services', 'GPS, Navigation & GIS', 'Medical', 'Manufacturing']","Gdańsk, Poland",50 - 249 employees,"$10,000+"
Dogtown Media,internet-of-things,"Located in Venice Beach, Calif., Dogtown Media specializes in app development, artificial intelligence, and UI/UX design for clients in the health care and financial services industries. With an additional office in San Francisco, the company, founded in 2011, has a team of around 30 who have helped launch 100+ apps for startups and Fortune 500 companies.",4.9,(29 Reviews),Google; Lexus; United Nations; CitiBank,"Dogtown Media built a generic app for presentation purposes, then later modified and refined the app based on customer needs.","['Financial services', 'Medical']","Los Angeles, CA",10 - 49 employees,"$25,000+"
Matellio,internet-of-things,"Matellio is a mobile and web app development company founded in 2012. Headquartered in San Jose, Calif., Matellio's team of around 40 specialize in web and mobile app development.Although Matellio encountered unexpected challenges that led to minor delays, the client appreciated their clear communication.",4.8,(36 Reviews),Startups; Fortune 500 Companies; Entrepreneurs; SMBs,"Matellio provides mobile app development services for a financial literacy startup. They’ve built an iOS and Android version of the app, along with an online portal to manage it.","['Business services', 'Information technology', 'Retail']","San Jose, CA",50 - 249 employees,"$10,000+"
Softengi,internet-of-things,"Softengi is a software development company in Ukraine, established in 1995. Their team of 154 employees specialize in custom software development, artificial intelligence, and AR/VR development. They mainly work with small businesses and midmarket clients in the business services, IT, and telecommunications industries.",4.8,(24 Reviews),Boeing; Zeppelin; OneRoof Energy; Enviance,"Working alongside the in-house team, Softengi assists with various development projects and QA. They do most of the development in React and provide recommendations on improving the prototypes. ","['Consumer products & services', 'Education', 'Financial services', 'Government', 'Medical', 'Information technology', 'Retail', 'Telecommunications']","Tychy, Poland",250 - 999 employees,"$10,000+"
RipenApps,internet-of-things,"RipenApps is a mobile app development company founded in 2013. With its headquarters in Noida, India, and offices in Ontario, Calif. and Unterschleißheim, Germany, they have a team of 150 employees. Their services include mobile app development, web development, and IoT development. They primarily work with small business and midmarket clients in the consumer product and services, education, and health care and medical industries. ",4.7,(37 Reviews),DELL Inc; Hungama Digital Media Entertainment; ep & t global (Environment | Property | Tech); eGurukul (Dr. Bhatia Medical Coaching Institute),"RipenApps developed a corporate website for a startup. They performed detailed analysis, presented a structure of the project, built the front- and backend, and designed the platform.","['Arts, entertainment & music', 'Business services', 'Consumer products & services', 'Education', 'Financial services', 'Government', 'Medical', 'Media', 'Utilities']","Noida, India",50 - 249 employees,"$10,000+"
iomico,internet-of-things,"Iomico is an IoT development company. The small Sunnyvale, California-based agency was established in 2012. Their team provides IoT development and Artificial Intelligence.",5.0,(8 Reviews),Glomex Srl; Tractive GmBH; ByteFoods Inc; Kaste Systems,iomico is developing firmware for a product company. The project is for a consumer wearable and hardware design layout. They add new functionalities with multiple sensor data acquisitions and streaming ability.,"['Automotive', 'Consumer products & services', 'Medical', 'Information technology', 'Retail']","Warszawa, Poland",10 - 49 employees,"$10,000+"
Trigma,internet-of-things,"Trigma Solutions is a software agency based in Mohali, India. With more than 50 employees, they offer web, e-commerce, and mobile app development solutions to clients that work in the fields of e-commerce, arts, and IT services.",4.9,(81 Reviews),UN; Samsung; Abott; Whirlpool,"Trigma built a mobile application for a marketing firm. After a series of calls and setting expectations, they developed the platform using Flutter and helped with the testing, launch, maintenance, and support.","['Advertising & marketing', 'Automotive', 'eCommerce', 'Education', 'Financial services', 'Government', 'Medical', 'Hospitality & leisure', 'Real estate']","Las Vegas, NV",50 - 249 employees,"$5,000+"
Vates,internet-of-things,"Vates is a software development firm that offers IoT development, BI and big data consulting, and custom software development to small business, enterprise, and mid-market clients in the telecommunications, financial, and consumer products services industries. Founded in 1991, their 350+ employees are based across the globe in Aventura, Fla., Sausalito, Calif., Buenos Aires and Cordoba, Argentina, and Santiago, Chile.",4.9,(17 Reviews),IBM; Oracle; Siemens; HP,Vates created an MVP to bring a company up to speed on the most recent technologies. They used big data and intelligent sensors for capturing real-time analytics while educating internal staff on the update.,"['Business services', 'Consumer products & services', 'eCommerce', 'Education', 'Financial services', 'GPS, Navigation & GIS', 'Medical', 'Energy & natural resources', 'Telecommunications']","Atlanta, GA",250 - 999 employees,"$10,000+"
Guaraná Technologies,internet-of-things,"Founded in 2011, Guarana Technologies is a mobile agency headquartered in Toronto, Canada, with additional offices in Montreal, Canada, and Parque Campolin, Brazil. Guarana Technologies has around 20 employees who focus on mobile app development, UX/UI design, and IoT development.",4.8,(16 Reviews),Raden; Evenflow; Life you Love; KINETICOACH,Guaraná Technologies developed a mobile app in Swift. They added animations to the app and integrated other features.,"['Business services', 'Consumer products & services', 'Education', 'Financial services', 'Medical', 'Information technology']","Toronto, Canada",10 - 49 employees,"$10,000+"
Stanfy,internet-of-things,"Stanfy is a San Francisco-based app development company. Founded in 2005, Stanfy has a team of about 12 employees who specialize in mobile app development, IoT development, and wearable app development. They primarily serve small and mid-market businesses.",4.8,(14 Reviews),Merriam-Webster; IMAX; Intel; IDS Group,"Stanfy completed a multi-phase project to develop a unique mobile app, to include the MVP design and a clickable prototype.","['Automotive', 'Consumer products & services', 'Hospitality & leisure', 'Information technology']","San Francisco, CA",10 - 49 employees,"$25,000+"
Brights,internet-of-things,"Brights is a digital production agency that's headquartered in Kyiv, Ukraine; they also have an office in Warsaw, Poland. Founded in 2011, Brights has about 43 employees that do web development, mobile app development, and UX/UI design. They serve a range of clients, notably midmarket clients and businesses in the IT, advertising, and e-commerce sectors.  ",5.0,(18 Reviews),Philip Morris; Intel; Microsoft; Coca-Cola,"Brought on board by a marketing compliance provider, Brights manages and builds their Laravel-based platform. They were tasked to make their ordering process more user-friendly with new custom features.","['Advertising & marketing', 'Automotive', 'Business services', 'Consumer products & services', 'Financial services', 'Information technology', 'Retail']","Warszawa, Poland",50 - 249 employees,"$5,000+"
OneClick IT Consultancy Pvt. Ltd.,internet-of-things,"OneClick IT Consultancy Pvt. Ltd. is an IT consultancy based in Ahmedabad, India founded in 2012. With a team of more than 50 experts, they offer CRM consulting & SI, custom software development, and web development assistance to clients, working in industries such as advertising, consumer products & services, and IT. They are also experienced in developing apps for wearables such as the Apple Watch.",5.0,(17 Reviews),ClientData LLC.; AOS Real Front Desk; MadamSew,One Click IT Consultancy Pvt. Ltd. developed a software solution that allows users to send personalized video messages via email. The solution is accessible via Android and iOS apps or a web browser. ,"['Business services', 'Medical', 'Hospitality & leisure', 'Information technology', 'Telecommunications', 'Supply Chain, Logistics, and Transport']","Ahmedabad, India",50 - 249 employees,"$5,000+"
Vectorform,internet-of-things,"Vectorform is an app, web, and software development company headquartered in Royal Oak, Mich. with other offices in Seattle, Wash.; New York, N.Y.; and Munich, Germany. The company has about 140 employees. Vectorform offers web design and development; custom software development; mobile app development; and UX/UI design, among other services.",4.9,(10 Reviews),Adidas; Associated Press; BMW; CNN,Vectorform was hired by an energy company to support their development of an R&D product. They're responsible for the design as well as the manufacturing of the actual device.,"['Automotive', 'Consumer products & services', 'Medical', 'Information technology', 'Manufacturing', 'Media', 'Energy & natural resources', 'Supply Chain, Logistics, and Transport', 'Utilities']","Troy, MI",50 - 249 employees,Undisclosed
Droid Technologies,internet-of-things,"Droid Technologies is an electronics design company based in Kiev, Ukraine. Founded in 2016, the team of 17 specializes in IoT development, custom software development and web development. They work primarily with small business clients mainly in the IT and telecommunications industries.",4.9,(37 Reviews),,"Droid Technologies has been a reliable provider of UI/UX designs for a consumer hardware startup's high-end kitchen appliances, working on firmware, design, and prototyping. ","['Automotive', 'Consumer products & services', 'Manufacturing', 'Energy & natural resources', 'Telecommunications']","Kyiv, Ukraine",50 - 249 employees,"$25,000+"
Twisthink,internet-of-things,"Headquartered in Holland, Michigan, Twisthink is an IoT development company. The small team specializes in IoT development, custom software development, ux/ui design, Artificial Intelligence, and more. The firm was launched in 2001.",4.6,(4 Reviews),,"Twisthink implemented UX/UI product solutions for a water solutions provider. The team created the main product design based on the client's concepts, and they continue to provide design and control support.","['Automotive', 'Consumer products & services', 'Medical', 'Non-profit', 'Supply Chain, Logistics, and Transport', 'Utilities']","Holland, MI",10 - 49 employees,"$25,000+"
Appikr Labs,internet-of-things,"Appikr, a mobile app development company, was founded in 2015. The midsize Delhi, India-based team focuses on mobile app development, custom software development, wearable app development, e-commerce development, and more.",5.0,(13 Reviews),,"Appikr Labs developed a mobile app for a fantasy sports company. Their services included research, identifying features and users, agreeing on business goals, and setting realistic delivery milestones.","['Advertising & marketing', 'Arts, entertainment & music', 'Automotive', 'Business services', 'Consumer products & services', 'Dental', 'eCommerce', 'Education', 'Financial services', 'Gaming']","New York, NY",50 - 249 employees,"$10,000+"
Sirin Software,internet-of-things,"Sirin Software is an IT outsourcing company based in Kyiv, Ukraine. Founded in 2014, Sirin Software's team of around 25 employees specializes in providing IoT development, custom software development, and IT staff augmentation services for small and mid-market IT and telecommunications business. ",4.8,(15 Reviews),Main industries: Telecom; Retail; Smart Home; Smart Cities,Sirin Software created a web-based interface for a consumer and industrial electronic hardware company. The team's objective is to develop excellent UI and UX capabilities within a brief timeline.,"['Consumer products & services', 'Information technology', 'Manufacturing', 'Telecommunications']","Kyiv, Ukraine",50 - 249 employees,"$25,000+"
Gecko Dynamics,internet-of-things,"Gecko Dynamics is a web and software development company that was founded in 2002. The company has a team of 11 located in its Krakow, Poland headquarters and Vancouver, Canada office. Gecko Dynamics specializes in custom software development, web development, and mobile app development for companies of all sizes. ",4.9,(21 Reviews),Air Canada; Nokia; PepsiCo; Cinepolis,Gecko Dynamics is custom-building an affordable housing solution for a software development company using Microsoft technology. The team will develop a back office and a public-facing website.,"['Automotive', 'Business services', 'Financial services', 'Manufacturing', 'Retail']","Kraków, Poland",10 - 49 employees,"$5,000+"
"AndPlus, An Ensono Company",internet-of-things,"AndPlus is a software product development company located in Southborough, Mass. Founded in 2009, they have 50 employees and serve companies of all sizes – from Fortune 100 companies like Bloomberg and Honeywell, to funded startups looking to launch their MVP. AndPlus focuses on creating mobile and web solutions for IoT, Big Data, User Experience, Artificial Intelligence, Machine Learning, and more.",4.9,(24 Reviews),Bloomberg; ESPN; MIT; Cambridge Mobile Telematics,AndPlus was brought on to transform a spreadsheet-based record keeping tool into an app that would guard the client's IP and integrate with their hardware.,"['Consumer products & services', 'Financial services', 'Medical', 'Information technology', 'Retail']","Southborough, MA",50 - 249 employees,"$100,000+"
