company_name,category,description,overall_rating,review_count,clients,notable_project,industries,location,company_size,min_project_size
"""Monkhub Innovations""",blockchain,"Monkhub Innovations, a mobile app development firm, is based in New Delhi, India. They provide mobile app development, ux/ui design, AR/VR development, blockchain, and more and were founded in 2017.",5.0,(16 Reviews),,"An IT consulting company hired Monkhub Innovations for their expertise in web and mobile application development, software engineering, and technology consulting services.","['Arts, entertainment & music', 'Business services', 'Consumer products & services', 'eCommerce', 'Education', 'Financial services', 'Gambling', 'Gaming', 'Medical', 'Media']","New Delhi, India",50 - 249 employees,"$10,000+"
SoluLab,blockchain,"Founded in 2013, SoluLabs is a mobile app and custom development firm based in Ahmedabad, India. SoluLabs currently employs more than 60 developers with a range of specialties – from mobile app development to blockchain to IoT development to SaaS product development.",4.8,(38 Reviews),Casting Workbook; Cambridge University; UnionEdge; Igniter100,"SoluLab developed an iOS and Android app in two weeks with the same code base. The app has three distinct types of users: mentors, entrepreneurs, and program administrators. Mentors provide feedback and advice to entrepreneurs and the administrators administer the programs that support entrepreneurship. The app, MELSTM, makes the interaction between mentor and entrepreneur more effective and efficient while collecting information on meetings, topics, and action for use in improving the entrepreneurship programs. Since the original prototype, the client has used SoluLab for additional features. ","['Arts, entertainment & music', 'Education', 'Financial services', 'GPS, Navigation & GIS', 'Medical', 'Real estate', 'Supply Chain, Logistics, and Transport']","Los Angeles, CA",50 - 249 employees,"$25,000+"
Wow Blockchain Labz,blockchain,"Wow Labz is a web and app development company based in Bangalore, India. Founded in 2011, the team of 63 specializes in mobile app development, web development, and UX/UI design. They work primarily with small business and enterprise clients, mainly in the consumer products and services industry. ",5.0,(15 Reviews),AB InBev; Emaar Group; Schneider Electric; Star Group,Wow Blockchain Labz has developed a social network platform for a real estate consulting firm. They work on integrating seven areas of an ecosystem in one unified platform.,"['Arts, entertainment & music', 'Consumer products & services', 'Education', 'Financial services', 'Gaming']","Bengaluru, India",50 - 249 employees,"$50,000+"
Antier Solutions,blockchain,"Antier Solutions was founded in 2009. They are a software developer based in Punjab, India. Their team of 110 employees specialize in blockchain, mobile app, and web development for primarily midmarket businesses in the advertising, business services, and customer products industries.",5.0,(8 Reviews),121with - UK; Pocial-California; Zon-US; AHG Group-Australia,Antier Solutions developed a decentralized cryptocurrency wallet for a software company in five days. The team assessed the client's errors in the code and rectify them before launching the product.,"['Advertising & marketing', 'Business services', 'Consumer products & services', 'Financial services', 'Medical', 'Information technology', 'Real estate']","Sahibzada Ajit Singh Nagar, India",50 - 249 employees,"$10,000+"
MetaLamp,blockchain,"MetaLamp is a website development firm. Established in 2014, the midsize company is located in Tomsk, Russia. Their services include web development, blockchain, IT staff augmentation, and mobile app development.",5.0,(27 Reviews),Focused on blockchain development and working with blockchain-startups,MetaLamp developed a website for a trading platform. They used React to build the frontend of the product.,"['Business services', 'Financial services', 'Information technology']","T'bilisi, Georgia",50 - 249 employees,"$10,000+"
PixelPlex,blockchain,"PixelPlex is a software and blockchain development company headquartered in New York City, with offices in London-UK, Pfäffikon-Switzerland, Tokyo-Japan, and Seoul-South Korea. Founded in 2007, the team of 130+ specializes in blockchain, custom software development, and mobile app development. They work mostly with enterprise and mid-market clients, primarily in the financial services industry. ",4.9,(25 Reviews),Microsoft; Oracle; BMW; Intel,"PixelPlex designed and developed an NFT marketplace for a technology company. They built the product from scratch using C++, C#, Solidity, and an Ethereum smart contract.","['Business services', 'eCommerce', 'Financial services', 'Government', 'Energy & natural resources', 'Real estate', 'Retail']","New York, NY",50 - 249 employees,"$25,000+"
Infograins,blockchain,"Infograins Software Solutions Pvt. Ltd. Is a small blockchain company based in Indore, India. Established in 2011, the team provides blockchain, mobile app development, Artificial Intelligence, IoT development, and more.",5.0,(38 Reviews),,"Infograins is developing a website for a blockchain company. The site allows users to book travel, lodging, and other services. They are also creating a digital wallet where users can store their coins.","['Arts, entertainment & music', 'Gambling', 'Gaming', 'Information technology']","New York, NY",50 - 249 employees,"$10,000+"
SpaceDev,blockchain,"SpaceDev is a software factory based in Montevideo, Uruguay. The factory, founded in 2017, has a team of around 20 that provides custom software development, web development, and mobile app development services to small and larger-sized companies and institutions in various industries.",5.0,(21 Reviews),NDAX.io; Flexio; ScotiaBank; DLocal,"Using existing designs and prototypes, SpaceDev is helping a petcare marketplace migrate their app to React Native. They're also building new features to be added to the app. Five teammates work on the project.",['Information technology'],"Montevideo, Uruguay",10 - 49 employees,"$50,000+"
Interexy,blockchain,"AMS LLC is a development agency in Cherry Hill, N.J. and Minsk, Belarus. Founded in 2017, they have about 20 employees that serve mostly small-business and midmarket clients in the transportation, education, and financial sectors. Their services are specialized in mobile app development.",4.9,(35 Reviews),Sandbox; Lil Durk; General Electric; Square Inc.,Interexy designed the product’s UI and developed a mobile application and an admin panel for a mental health platform. The app was an onboarding system for patients that used bank IDs to log in.,"['eCommerce', 'Education', 'Financial services', 'GPS, Navigation & GIS', 'Medical', 'Hospitality & leisure', 'Information technology', 'Media', 'Supply Chain, Logistics, and Transport']","Lauderdale-by-the-Sea, FL",50 - 249 employees,"$10,000+"
Crypton Studio,blockchain,"Crypton Studio is a software company based in Riga, Latvia, and founded in 2015. With over 10 employees, they offer blockchain, mobile app development, and web development solutions to small and medium-sized businesses alike.",5.0,(7 Reviews),"Decimal, Samurai, Workquest, BitTeam, Polylastic, Decentraland.","Crypton Studio has designed the UI for a cryptocurrency company's product, and they're now developing it. They're building the solution in the Polygon platform using smart contracts and running security tests.","['eCommerce', 'Education', 'Financial services', 'Gambling', 'Gaming', 'Government', 'Real estate']","Rīga, Latvia",50 - 249 employees,"$10,000+"
Labrys,blockchain,"Labrys is a blockchain development and consulting company located in Brisbane, Australia. Founded in 2017, they continue to provide blockchain, custom software, and mobile app development services. They have about 11 employees.",5.0,(3 Reviews),TracerDAO; Swell Network; EarthFund DAO; Downer Group,"A bitcoin brokerage service chose Labrys as a partner to take charge of the application design and development, as well as the management of their project.","['Advertising & marketing', 'Arts, entertainment & music', 'Business services', 'Consumer products & services', 'eCommerce', 'Education', 'Financial services', 'Gambling', 'Gaming', 'Government']","Fortitude Valley, Australia",10 - 49 employees,"$50,000+"
Unicsoft,blockchain,"Unicsoft is a blockchain and artificial intelligence development company headquartered in Kyiv. Founded in 2005, the team of 120 experts specializes in blockchain, AI, big data, predictive analytics, cryptocurrency solutions, custom software development, web, and mobile development. They provide fully-managed and dedicated team services for the sustainable growth of SME and start-ups, primarily in the supply chain and fintech industries.",4.9,(32 Reviews),MakerDAO; SoccerCoin; Hoodifood; Niftables,"Unicsoft developed a billing module for a SaaS company. They integrated the module with the client's existing system, designed the UI/UX, and provided QA and management services.","['Advertising & marketing', 'Automotive', 'Financial services', 'GPS, Navigation & GIS', 'Medical', 'Information technology', 'Manufacturing', 'Retail', 'Supply Chain, Logistics, and Transport']","London, United Kingdom",50 - 249 employees,"$25,000+"
Talentica Software,blockchain,"Talentica Software is an innovative product development company for high-growth companies. With 18 years of experience across various domains of 170 customers, the company has developed deep expertise in AI & Machine Learning, and Blockchain. Expertise in these emerging technologies and understanding the business context help bring product features to life. They have a team of 500+ experienced & handpicked tech experts hailing from the premier engineering schools of India like IITs, NITs & BITs.",4.7,(22 Reviews),Mist Systems; Alphasense; Tala Security; Citrus Pay,"Augmenting a channel marketing automation platform's R&D capabilities, Talentica Software helps the client develop their main product. They maintain the product, fix bugs, and create new software capabilities.","['Advertising & marketing', 'Consumer products & services', 'eCommerce', 'Financial services', 'Medical', 'Media', 'Real estate']","Pune, India",250 - 999 employees,"$50,000+"
Plavno,blockchain,"Plavno, a website development firm, is based in Nur - Sultan, Kazakhstan. They offer web development, mobile app development, and blockchain and were founded in 2007.",5.0,(19 Reviews),"Mercedes, Xerox, Kia, eBay, PayPal, Amazon , IBM, Bank, Mediacube","Plavno developed a digital university admissions platform for a web development company. They designed the UX/UI for three user groups, and built the platform using React.js, Python, C# and other tools, ","['eCommerce', 'Education', 'Financial services', 'Gambling', 'Medical']","Warszawa, Poland",50 - 249 employees,"$10,000+"
Innowise Group,blockchain,"Innowise Group is a custom software development company based in Warsaw, Poland. With more than 1000 specialists on board and 600 projects completed, they use cutting-edge technologies to transform their client's businesses. They are experts in designing and developing tech solutions that will help your company enhance its processes and increase customer satisfaction, thanks to their 15+ years of experience and extensive expertise. They create custom software to fit your unique requirements in terms of timeline, budget, and use case. They handle every step of the development process, from product concept and development to testing, deployment, and support. In addition to building custom software, we also excel in UX/UI design, IT strategy consulting, and staff augmentation.",4.8,(40 Reviews),Terraces.io; Voka; Belyagdar; Instatsport,A digital healthcare company hired Innowise Group to provide mobile app development. They created a platform for respiratory conditions that analyzes inhalation flow and allows users to record symptom data.,"['Education', 'Financial services', 'Medical']","St. Petersburg, FL","1,000 - 9,999 employees","$5,000+"
CGS-team,blockchain,"Code Generation is a software company founded in Kharkiv, Ukraine in 2017 with over 10 employees. They are experts in custom software, web, and mobile app development services for small businesses in the fields of healthcare, education, and business services.",4.9,(8 Reviews),IBM; HomeLike; Atlassian; Awes Ventures LLC,"CGS-team provided mobile app development support to a web and SEO agency's client. They fixed the app's bugs related to the notification system, translations, image uploading, categories, and authentication.","['Business services', 'Financial services', 'Medical']","Paphos, Cyprus",50 - 249 employees,"$5,000+"
iTechArt Group,blockchain,"Headquartered in New York, iTechArt is a custom software development company with additional offices in Marietta, Ga. and Iselin, N.J. Since 2002, iTechArt has helped startups and fast-growing tech companies fill in their talent gap and create robust web and mobile solutions that users love. To date, iTechArt’s talent pool includes 3500+ engineers with experience in all of the latest technologies.",4.9,(52 Reviews),ClassPass; ZEFR; Gain Capital (forex.com); Merkle,"iTechArt Group's engineers help a fintech firm with the development of their services. Some of their tasks include user onboarding, user account creation, tenant configuration management, and authentication.","['Education', 'Financial services', 'Gaming', 'Medical']","New York, NY","1,000 - 9,999 employees","$25,000+"
Debut Infotech,blockchain,"Headquartered in Mohali, India, Debut Infotech also maintains a US presence with its Chicago office. Debuting in 2012, they’ve grown to almost 100 employees who are dedicated to both web and mobile app development.",4.8,(22 Reviews),Everledger; iFinca; HDFC Bank; KFC,Debut Infotech developed an iPad-based invoicing and digital record keeping application for a third party client. The team also integrated email tracking and scheduling functionalities.,"['Business services', 'Consumer products & services', 'eCommerce', 'Education', 'Financial services', 'Medical', 'Hospitality & leisure', 'Information technology', 'Retail']","Sahibzada Ajit Singh Nagar, India",50 - 249 employees,"$10,000+"
482.solutions,blockchain,"482.solutions is a blockchain development and consulting firm that was founded in 2013. They employ 34 staff in their office in Odesa, Ukraine, where they provide innovated blockchain engineering for small and midmarket companies in fintech, energy, and e-government. Services include custom software development, security, and IoT development.",4.9,(10 Reviews),Ambrosus; REMME; Worldbiz; Miralab,"482.solutions developed custom software for a low-carbon, customer-centric electricity system nonprofit. The team built a decentralized identity library that included key security considerations.","['Business services', 'Education', 'Government', 'Information technology', 'Energy & natural resources']","Singapore, Singapore",50 - 249 employees,"$10,000+"
The NineHertz,blockchain,"The NineHertz is a 200+ mobile app and web development company based in Jaipur, India with offices in Australia, Dubai, California, and Cincinnati, OH. The team has created thousands of apps for small to midsize businesses since its start in 2008.",4.8,(103 Reviews),JMRC (Jaipur Metro Rail Corporation); Casio  Samsung Reliance Jio Air Asia,An import and export company hired The NineHertz to develop their e-commerce website. They created a task force of developers and designers to execute the project after issues were raised. ,"['eCommerce', 'Education', 'Financial services', 'Gaming']","Cincinnati, OH",50 - 249 employees,"$5,000+"
Codiste pvt ltd,blockchain,"Codiste pvt ltd is a blockchain company. Located in Ahmedabad, India, their small team offers blockchain, mobile app development, and web development. The firm was founded in 2019.",4.9,(8 Reviews),Bonfire Capital; Decentralized Crypto Launchpad,Codiste pvt ltd has developed a wallet application for a crypto startup. They have built the front- and backend to create a platform with standard and new functionalities.,"['Arts, entertainment & music', 'Business services', 'Education', 'Financial services', 'Gaming', 'Information technology', 'Real estate']","Ahmedabad, India",10 - 49 employees,"$5,000+"
Artkai,blockchain,"ARTKAI is a full-cycle digital product development and consulting company with an emphasis on UX. Founded in 2014, they have about 100 employees and work with SME’s from the US and EU markets. Their team takes care of Web and Mobile Development, UX/UI Design, and Digital Transformation of Businesses from initial research to complete product.",4.9,(32 Reviews),Huobi Global (Crypto exchange platfrom); Nezha (Blockchain prediction market protocol); CEX.io (Crypto exchange app); Advanced Markets (Cryto Investments Consulting),Artkai provides UX/UI design services for a luxury spirits and wines startup. They’ve worked on designs and prototypes for a platform that enhances the ownership experience with interactive bottles and NFTs.,"['Business services', 'Financial services']","Kyiv, Ukraine",50 - 249 employees,"$25,000+"
Serokell,blockchain,"Serokell OÜ is a software research and development company based in Tallinn, Estonia founded in 2015. The team of 26 offer their services in IoT development, artificial intelligence, and blockchain. They work with a wide variety of industries, including financial services and IT, among others. Their blockchain services revolve around initial coin offering consulting and smart contract development.",4.9,(10 Reviews),Disciplina; Tocqueville Group; IOHK,"Serokell developed a cryptocurrency startup’s web platform. They built a routing algorithm and the backend using a Web3 tech stack, Python, JavaScript, Solidity, and financial flow optimization tools.","['Business services', 'eCommerce', 'Education', 'Financial services', 'Medical', 'Information technology', 'Manufacturing', 'Telecommunications', 'Supply Chain, Logistics, and Transport']","Tallinn, Estonia",50 - 249 employees,"$10,000+"
Capital Numbers,blockchain,"Capital Numbers is a digital production outsourcing company headquartered in Kolkata, India, with additional locations in Beerwah, Australia, Dover, Del., and the U.K. The company was founded in 2012, and has a team of nearly 300 people who provide web development, custom software development, mobile app development, and e-commerce development. They provide services mostly to mid-market businesses, but also to enterprise and small businesses. The businesses they serve are in different industries including the advertising & marketing, business services, and financial services industries.
 ",4.8,(164 Reviews),Consumer Reports; Fundation; Thomson Reuters; HelloBar,"Capital Numbers developed a website for an HVUT filing company. They built the website, tested the platform, and provided postproduction services.","['Advertising & marketing', 'Business services', 'eCommerce', 'Financial services', 'Medical', 'Information technology', 'Manufacturing', 'Non-profit', 'Real estate', 'Retail']","Kolkata, India",250 - 999 employees,"$5,000+"
Apriorit,blockchain,"Apriorit is a software product engineering company founded in 2002 with offices in Dover, Del., and Budapest, Hungary. Apriorit boasts a team of more than 200 employees who are well-versed in custom software development, web development, and mobile app development. ",4.9,(28 Reviews),Fortune 500 security solution vendors; Fortune 500 virtualization technology vendors; SaaS solution providers (CRM; HR,"A customer identity and access management company was looking to present the benefits of their software seamlessly, so they hired Apriorit for web development. The team utilized React and OpenID in the build.","['Automotive', 'Business services', 'Financial services', 'Medical', 'Information technology']","Wilmington, DE",250 - 999 employees,Undisclosed
10Pearls,blockchain,"Based in Vienna, VA, 10Pearls designs and maintains apps for various companies. The company and its nearly 350 employees have experience in cybersecurity, product development, and UX/UI design.",4.9,(29 Reviews),HughesNet; Johnson & Johnson; PayPal; CocaCola,"10Pearls used AWS and Google Maps to build an app that displays the status and location of pharmacies, dialysis clinics, and healthcare facilities during emergencies. The platform houses 200,000 data points.","['Education', 'Financial services', 'Medical', 'Energy & natural resources', 'Telecommunications']","Washington, DC","1,000 - 9,999 employees","$50,000+"
AE Studio,blockchain,"AE Studio is a team of designers, engineers, and data scientists based in Venice, CA – working on blockchain solutions internally and for partners since their founding in 2016. Their team of more than 150 members provides full, end-to-end blockchain services for startups and enterprise partners, ranging from strategic advisory to community/gtm to smart contract deployment. They are chain agnostic and partner with leading blockchain groups like Dapper Labs, Polygon, and Skale.",5.0,(18 Reviews),Samsung; Berkshire Hathaway; Ritual; Chance the Rapper,"AE Studio has provided UX/UI design services for a sports analytics hardware company. They’ve done a mobile application’s complete redesign, working on the interface, including the brand identity.","['Arts, entertainment & music', 'Business services', 'Consumer products & services', 'eCommerce', 'Medical', 'Information technology', 'Media']","Los Angeles, CA",50 - 249 employees,"$100,000+"
APPLIFY,blockchain,"APPLIFY is a mobile app and custom software development firm known for its efficiency, reliability, and award-winning apps. Founded in 2014, their 10+ team headquarters in Mohali, India, and works from offices in London, Dubai, Singapore, and San Francisco.",5.0,(28 Reviews),MetLife; Coco-Cola; Nielsen; Carrefour,APPLIFY handled mobile app development services for a fantasy sports business. The team helped create the prototype of a fantasy golf app. They also implemented various features based on the client’s needs.,"['Business services', 'Consumer products & services', 'eCommerce', 'Education', 'Financial services', 'Medical', 'Legal Cannabis', 'Real estate', 'Retail', 'Supply Chain, Logistics, and Transport']","London, United Kingdom",50 - 249 employees,"$10,000+"
Exilion Technologies Inc,blockchain,"Exilion Technologies Inc is a custom software development firm. Founded in 2008, the company is headquartered in Vaughan, Canada. The team specializes in custom software development and blockchain solutions.",5.0,(11 Reviews),,Exilion Technologies Inc was hired by a cryptocurrency platform for website development and launch support services. They installed MetaMask and added widgets to allow users to purchase tokens.,"['Business services', 'eCommerce', 'Financial services', 'Medical', 'Information technology']","Vaughan, Canada",10 - 49 employees,"$25,000+"
StartupCraft Inc,blockchain,"StartupCraft Inc. is a Miami based software development company. They were founded in 2015 and have a team of 17 employees who specialize in web development, blockchain, and mobile app development for small businesses in the business services industry.",5.0,(17 Reviews),WhaleRoom; SappChat; WorkAxle; NetworkOS,"StartupCraft designed and developed a mobile and web-based app, using Ruby on Rails, React Native, and AWS. A core feature allows users to find and schedule employees using a tagging system.","['Business services', 'Education', 'Financial services', 'Medical', 'Information technology', 'Real estate', 'Telecommunications']","Dover, DE",50 - 249 employees,"$50,000+"
Rather Labs,blockchain,,4.9,(5 Reviews),Nervos Foundation; Gravity Gaming; Mantial,"Rather Labs, Inc., developed the MVP of a consumer product company's platform, which included specific mock designs.","['Financial services', 'Gaming', 'Real estate', 'Retail']","Buenos Aires, Argentina",10 - 49 employees,"$10,000+"
Tech Alchemy,blockchain,"Tech Alchemy was founded in 2016 and has two locations in London. Their team of nearly ten employees provides web development, mobile app development, and UX/UI design services for small businesses.",5.0,(24 Reviews),Ocean Bottle; TOAD; MyBricks; Moviecoin,"Tech Alchemy provided fullscale design and development support to create a platform. They built the screens and UI, and compiled relevant data to form the final product.","['Advertising & marketing', 'Consumer products & services', 'Financial services', 'Hospitality & leisure', 'Real estate']","London, United Kingdom",50 - 249 employees,"$10,000+"
imapp,blockchain,"Imapp is a blockchain company. Established in 2013, the team specializes in blockchain and web development. Their small firm is based in Warszawa, Poland.",5.0,(6 Reviews),,"imapp helped a nonprofit organization with project research. Their work entailed applying automated scripts and expanding program generation, instrumentation, measurement, and analysis modules.","['Gaming', 'Information technology', 'Media']","Warszawa, Poland",10 - 49 employees,"$25,000+"
Zfort Group,blockchain,"Zfort Group is a full service IT provider based in Kharkiv, Ukraine with offices in the U.S., the U.K., and Australia. Founded in 2000, Zfort's team of around 200 employees provides web development, custom software development, and blockchain services to small and mid-market businesses in a wide variety of industries. ",5.0,(10 Reviews),Online.io; EzyMath LLC; CharityCheckout; SystemHUB,"Zfort Group implemented a CMS into a complex, outdated, hard-coded website. The team spent hours analyzing the structure and code before providing a solution. They now maintain the system.","['Business services', 'eCommerce', 'Education', 'Financial services', 'Medical', 'Hospitality & leisure', 'Information technology']","Kharkiv, Ukraine",250 - 999 employees,"$10,000+"
Cubix,blockchain,"Cubix is a software development company founded in 2008. Based in Washington, with offices in Karachi, Pakistan and Dubai, United Arab Emirates, their team of 151 specializes in custom software development, AR/VR development, and mobile app development. ",4.8,(52 Reviews),Wallmart; Tissot; Sapient; Dreamworks,Cubix was hired by a beauty service provider to create the MVP of their online marketplace. ,"['Automotive', 'Gaming', 'Government', 'Medical', 'Hospitality & leisure', 'Retail']","West Palm Beach, FL",50 - 249 employees,"$25,000+"
10Clouds,blockchain,"Headquartered in Warsaw, Poland and with an office in Atlanta, GA, 10Clouds has built software for businesses worldwide since 2009. The team of 120+ focuses on web development, software development, and DevOps services for scaleups and enterprise clients.",4.9,(72 Reviews),Emergent Technology; Aleph Zero; Trust Stamp; Omise,"10Clouds provides web application design and development for an IT services company using Node.js and React. The team has worked on a couple of projects, including an auditing app that can conduct surveys.","['Business services', 'Education', 'Financial services', 'Medical', 'Information technology']","Warszawa, Poland",50 - 249 employees,"$50,000+"
Cheesecake Labs,blockchain,"Cheesecake Labs is a software design and engineering partner that builds tech products. With locations in California and Brazil, they have been building apps since 2013. Their multidisciplinary team of 100+ designers, engineers, and project managers collaborate with clients to deliver software solutions. The company offers full-service development for iOS, Android, and Web platforms, including UI/UX design, backend engineering, project management, testing, launching, and maintenance.",4.9,(45 Reviews),MercadoLibre; Cargill/Agriness; Sodexo; AES Corporation,"Cheesecake Labs provides development services for an auto subscription company. The team has worked on the client’s backend, internal tooling, and database building using TypeScript, Integromat, and Retool.","['Automotive', 'Consumer products & services', 'eCommerce', 'Financial services', 'Real estate']","San Francisco, CA",50 - 249 employees,"$50,000+"
OmiSoft,blockchain,"Founded in 2017, OmiSoft is headquartered in Warsaw, Poland with another location in Kiev, Ukraine. With 11 employees, they provide mobile app development, web development, and UX/UI design services for midmarket and small businesses focused on education, health care, and medical industries.",5.0,(13 Reviews),,OmiSoft developed a transaction and analytics dashboard for a mobile app advertising platform. The product helps users analyze statistics and manage the flow of traffic to clients’ applications.  ,"['Financial services', 'Gaming', 'Medical']","Augsburg, Germany",50 - 249 employees,"$5,000+"
S-PRO,blockchain,"S-PRO is a mobile app and blockchain development company based in Kiev, Ukraine. Founded in 2014, S-PRO's team of around 100 employees specializes in mobile app development, blockchain, and UI/UX design. S-PRO primarily works with small and midmarket clients. ",4.9,(44 Reviews),Hastings Deering; Exaloan; Modo Energy; JobDone,S-PRO helps a software company with their AWS and fintech platform. They integrate sophisticated blockchain infrastructure and supply a team of developers and product managers for the job.,"['Financial services', 'Medical', 'Supply Chain, Logistics, and Transport']","Zürich, Switzerland",50 - 249 employees,"$25,000+"
